freq	kvnp_7_p	kvnp_10_p	kvnp_11_c	kvnp_14_c	7_p_std	10_p_std	11_c_std	14_c_std	p_mean	c_mean
170.1	64.939255	55.91098	65.99589	65.34134	0.727925664	0.558315042	0.716318949	0.693754075	0.643120353	0.705036512
171.45	64.914314	55.827892	65.91247	65.28733	0.727683476	0.557497566	0.715522769	0.693247122	0.642590521	0.704384946
172.8	64.88913	55.744797	65.82847	65.23302	0.727438928	0.556680022	0.714721054	0.692737353	0.642059475	0.703729203
174.15	64.86368	55.661713	65.7439	65.17841	0.727191798	0.555862586	0.713913898	0.692224768	0.641527192	0.703069333
175.5	64.83798	55.57868	65.65875	65.12352	0.72694224	0.555045652	0.713101207	0.691709555	0.640993946	0.702405381
176.85	64.81202	55.495728	65.57305	65.06834	0.726690157	0.554229514	0.712283267	0.69119162	0.640459836	0.701737443
178.2	64.785805	55.41292	65.48679	65.012886	0.726435598	0.553414794	0.711459981	0.690671113	0.639925196	0.701065547
179.55	64.75932	55.330288	65.399994	64.95715	0.726178417	0.552601805	0.71063158	0.690147959	0.639390111	0.70038977
180.9	64.73258	55.24788	65.31265	64.90116	0.72591876	0.55179102	0.709797949	0.689622421	0.63885489	0.699710185
182.25	64.70558	55.16572	65.22479	64.84491	0.725656578	0.550982675	0.708959393	0.689094442	0.638319627	0.699026918
183.6	64.678314	55.083874	65.13641	64.78841	0.725391814	0.550177419	0.708115874	0.688564117	0.637784616	0.698339996
184.95	64.65078	55.002384	65.04753	64.73165	0.725124447	0.549375666	0.707267583	0.688031352	0.637250056	0.697649467
186.3	64.62298	54.92129	64.95815	64.67467	0.724854497	0.548577808	0.70641452	0.687496521	0.636716153	0.69695552
187.65	64.59491	54.840633	64.86829	64.61744	0.724581925	0.547784251	0.705556875	0.686959344	0.636183088	0.69625811
189	64.56657	54.76047	64.77796	64.56	0.724306731	0.546995554	0.704694745	0.686420196	0.635651142	0.69555747
190.35	64.53796	54.680855	64.68717	64.502335	0.724028916	0.546212248	0.703828224	0.685878936	0.635120582	0.69485358
191.7	64.50908	54.60183	64.59593	64.444466	0.723748478	0.545434747	0.702957409	0.685335761	0.634591613	0.694146585
193.05	64.47993	54.523453	64.504265	64.3864	0.723465419	0.544663621	0.702082537	0.684790737	0.63406452	0.693436637
194.4	64.45049	54.44578	64.41218	64.32813	0.723179544	0.543899422	0.701203656	0.684243798	0.633539483	0.692723727
195.75	64.420784	54.368855	64.31969	64.269684	0.722891086	0.543142583	0.70032091	0.683695207	0.633016834	0.692008059
197.1	64.3908	54.292732	64.226814	64.21106	0.722599928	0.542393634	0.699434481	0.683144946	0.632496781	0.691289713
198.45	64.36054	54.21747	64.13357	64.15227	0.722306091	0.541653156	0.698544538	0.682593126	0.631979623	0.690568832
199.8	64.33	54.1431	64.03996	64.093315	0.722009534	0.540921454	0.697651103	0.682039758	0.631465494	0.68984543
201.15	64.29918	54.069706	63.94602	64.03421	0.721710259	0.540199354	0.696754518	0.681484982	0.630954806	0.68911975
202.5	64.26807	53.997322	63.851757	63.97497	0.721408167	0.539487192	0.69585485	0.680928938	0.63044768	0.688391894
203.85	64.23668	53.926014	63.757195	63.915596	0.721103356	0.538785616	0.694952329	0.680371637	0.629944486	0.687661983
205.2	64.205	53.855824	63.662354	63.856102	0.72079573	0.53809504	0.694047144	0.679813209	0.629445385	0.686930177
206.55	64.17304	53.786797	63.56725	63.796497	0.720485385	0.537415906	0.69313945	0.67925374	0.628950645	0.686196595
207.9	64.14079	53.719006	63.471905	63.73679	0.720172223	0.536748933	0.692229455	0.678693313	0.628460578	0.685461384
209.25	64.10825	53.65249	63.376343	63.67699	0.719856246	0.536094504	0.69131739	0.678132013	0.627975375	0.684724701
210.6	64.07543	53.587284	63.28059	63.61711	0.719537549	0.535452964	0.690403501	0.677569962	0.627495256	0.683986732
211.95	64.042305	53.52346	63.184658	63.557156	0.719215891	0.53482502	0.689487904	0.677007217	0.627020456	0.68324756
213.3	64.008896	53.461044	63.08858	63.497147	0.718891475	0.53421093	0.688570913	0.676443955	0.626551203	0.682507434
214.65	63.975193	53.400097	62.992382	63.437088	0.718564205	0.533611292	0.687652777	0.675880225	0.626087748	0.681766501
216	63.941193	53.340652	62.896088	63.37699	0.71823405	0.533026433	0.686733725	0.675316128	0.625630241	0.681024927
217.35	63.906895	53.282764	62.799717	63.316864	0.717901001	0.532456892	0.685813938	0.674751768	0.625178947	0.680282853
218.7	63.872303	53.22644	62.703312	63.256725	0.717565098	0.531902738	0.684893827	0.674187286	0.624733918	0.679540557
220.05	63.83741	53.17175	62.606888	63.196583	0.717226272	0.531364662	0.683973534	0.673622776	0.624295467	0.678798155
